"order_id","order_date","ship_date","ship_mode_id","customer_id","city_id","postal_code"
"CA-2021-111556","2021/11/20","2021/11/22","1","CD-11920","381","10035"
"US-2021-119438","2021/3/18","2021/3/23","4","CD-11980","564","75701"
"CA-2021-150091","2021/10/12","2021/10/16","4","NP-18670","281","8701"
"CA-2020-101966","2020/7/14","2020/7/16","3","BM-11785","240","77036"
"CA-2019-111948","2019/11/11","2019/11/11","2","AG-10495","144","48234"
"CA-2021-133865","2021/5/8","2021/5/12","4","PS-19045","313","90032"
"CA-2019-121699","2019/8/10","2019/8/14","4","BD-11320","144","48227"
"CA-2020-108196","2020/11/25","2020/12/2","4","CS-12505","284","43130"
"CA-2019-132388","2019/10/10","2019/10/12","1","KN-16390","513","93101"
"CA-2021-115994","2021/1/28","2021/1/31","3","BT-11305","122","92627"
"CA-2021-121580","2021/5/29","2021/6/4","4","ML-17410","109","47201"
"US-2021-101840","2021/2/6","2021/2/12","4","SP-20545","381","10024"
"CA-2020-157742","2020/12/29","2020/12/31","3","KL-16645","533","97477"
"CA-2020-169957","2020/9/26","2020/9/30","4","SN-20710","124","98042"
"CA-2018-103310","2018/5/10","2018/5/15","4","GM-14680","506","95123"
"CA-2019-149566","2019/12/5","2019/12/10","4","GB-14530","313","90049"
"CA-2018-138100","2018/9/15","2018/9/20","4","AA-10315","381","10011"
"CA-2019-144890","2019/12/25","2019/12/29","4","SM-20320","313","90049"
"CA-2020-134474","2020/1/5","2020/1/7","3","AJ-10795","252","32216"
"CA-2018-154837","2018/8/23","2018/8/27","3","RB-19645","313","90032"
"CA-2021-143378","2021/9/19","2021/9/25","4","JR-16210","533","97477"
"CA-2021-158344","2021/8/7","2021/8/11","4","CC-12475","361","56560"
"CA-2021-163097","2021/8/27","2021/8/31","4","SF-20200","342","85204"
"US-2019-125374","2019/3/23","2019/3/29","4","JD-16060","240","77095"
"CA-2018-164224","2018/5/18","2018/5/20","3","TT-21070","3","44312"
"US-2021-108014","2021/11/19","2021/11/25","4","JH-15430","97","44105"
"CA-2021-122490","2021/11/13","2021/11/18","4","TT-21070","518","98103"
"CA-2021-130771","2021/7/29","2021/8/3","4","LA-16780","31","78745"
"CA-2021-102218","2021/9/2","2021/9/4","3","LW-17215","181","80525"
"US-2020-166660","2020/1/30","2020/2/1","3","TB-21250","518","98103"
"CA-2021-116498","2021/5/30","2021/6/3","4","KA-16525","503","92037"
"US-2020-115455","2020/9/8","2020/9/14","4","SE-20110","589","60090"
"CA-2018-146283","2018/9/8","2018/9/15","4","KT-16465","240","77036"
"CA-2018-143385","2018/8/31","2018/9/5","4","SJ-20500","515","87505"
"CA-2020-165820","2020/9/26","2020/9/30","4","DW-13585","504","94109"
"CA-2019-163237","2019/8/7","2019/8/9","3","EM-14095","534","22153"
"CA-2019-142734","2019/4/16","2019/4/21","4","DM-13345","381","10024"
"CA-2020-123337","2020/9/16","2020/9/22","4","KD-16495","506","95123"
"CA-2020-124583","2020/9/1","2020/9/3","3","LB-16795","241","92646"
"CA-2019-155145","2019/12/27","2019/12/29","3","KN-16450","572","93277"
"CA-2021-113355","2021/12/1","2021/12/5","4","SJ-20215","204","75051"
"CA-2021-104080","2021/3/8","2021/3/15","4","AH-10210","10","92804"
"CA-2021-103611","2021/9/12","2021/9/15","1","JM-15535","313","90036"
